full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame Sadly good things have to come to an end at some point 😢,0,2,United States,Mon Sep 07 03:00:32 +0000 2020
@FallGuysGame aawwww it wants to live! !goodbot,0,0,,Mon Sep 07 03:00:32 +0000 2020
@FallGuysGame leave.,0,0,,Mon Sep 07 03:00:32 +0000 2020
@FallGuysGame PLEASE DON’T,0,0,,Mon Sep 07 03:00:32 +0000 2020
@FallGuysGame https://t.co/Hd02FPzTLB,0,0,,Mon Sep 07 03:00:31 +0000 2020
"@FallGuysGame Yo, check out my in depth grabbing guide https://t.co/vz1nhUNAYL",0,1,,Mon Sep 07 03:00:30 +0000 2020
@FallGuysGame We will miss you bean bot,0,0,,Mon Sep 07 03:00:30 +0000 2020
@FallGuysGame dont leave plzz,0,0,,Mon Sep 07 03:00:30 +0000 2020
"@FallGuysGame All good things must come an end, Bean Bot",0,0,Shoebox (Skechers),Mon Sep 07 03:00:30 +0000 2020
@FallGuysGame Can we spare bean bot? He deserves to live just like everyone else does,0,0,,Mon Sep 07 03:00:29 +0000 2020
@FallGuysGame We don't want you to leave either !GoodBot,0,1,,Mon Sep 07 03:00:29 +0000 2020
@FallGuysGame You can stay,0,0,"Leyland, England",Mon Sep 07 03:00:29 +0000 2020
@FallGuysGame We love u,0,0,,Mon Sep 07 03:00:29 +0000 2020
@FallGuysGame I don’t want you to leave either BeanBot,0,0,,Mon Sep 07 03:00:27 +0000 2020
@FallGuysGame I'm starting to get scared 😨,0,1,,Mon Sep 07 03:00:27 +0000 2020
@FallGuysGame BeanBot become self aware,0,1,,Mon Sep 07 03:00:27 +0000 2020
@FallGuysGame !goodbeanbot,0,0,,Mon Sep 07 03:00:27 +0000 2020
@FallGuysGame Didn’t ask g,0,0,"Sha Tin District, Hong Kong",Mon Sep 07 03:00:26 +0000 2020
